name,artist,uri,key,mode,acousticness,danceability,energy,liveness,loudness,tempo,valence,popularity
놓아 놓아 놓아 Letting Go,DAY6,spotify:track:7Jp5vVEO8VthapUJC6zhG5,5,0,0.0949,0.389,0.606,0.199,-4.923,169.969,0.206,17
놀리러 간다,SPEED,spotify:track:2cD8Jv4yjICHWXlhGa9MKn,2,1,0.0235,0.705,0.911,0.26,-3.931,124.903,0.754,41
RECIPE,WOODZ,spotify:track:6UgtZqF1ohFKyeRznjI8fP,6,0,0.3,0.674,0.924,0.0557,-3.697,140.012,0.536,33
Promise (I'll be),2PM,spotify:track:22gIYvi39amZmTIWimZvCP,1,0,0.109,0.571,0.945,0.104,-1.72,159.903,0.511,5
no shadow,Jun. K,spotify:track:6GeBQeUkpLdpbHi1dd7YHa,9,0,0.313,0.729,0.741,0.262,-2.036,119.908,0.429,0
Perfect Man,SHINHWA,spotify:track:115a4lQhDJGnu4QVSa8bUW,5,0,0.0247,0.751,0.912,0.0778,-1.822,108.002,0.804,56
Yes No Maybe,Suzy,spotify:track:5agNBfJwMMQKZqpexZJNd8,1,1,0.241,0.633,0.781,0.124,-4.052,164.817,0.5,20
Zombie High,그레이스(Grace),spotify:track:4t5Pr3jI2MNWFZ37piZVAh,11,1,0.0398,0.764,0.844,0.141,-5.079,97.599,0.4,0
Day Star,Cando,spotify:track:4y56WDNPXkDKXwY0ctHlOv,7,1,0.229,0.75,0.587,0.167,-6.265,125.038,0.407,0
Penthouse (Prod. APRO),pH-1,spotify:track:6emzoqPK7R90w6R92u3XfJ,5,0,0.559,0.744,0.782,0.144,-5.814,138.01,0.911,30
Francesca,Hash Swan,spotify:track:2rswsdvGNEZm4jwTqlWSnP,7,1,0.341,0.888,0.798,0.0401,-3.673,114.975,0.881,32
Wang Like Alexander,Hash Swan,spotify:track:3Ui2EsRcLvWgB9pgzddlNV,9,0,0.118,0.466,0.843,0.341,-3.574,172.92,0.934,30
Potion,Eric Nam,spotify:track:02sD9kxKrCboVcOKzx3VyZ,11,0,0.137,0.726,0.711,0.285,-3.456,102.957,0.676,41
Honestly,Eric Nam,spotify:track:7uW2sLxLjNgQJHa71LGVGr,0,0,0.0706,0.75,0.799,0.377,-2.788,110.991,0.462,53
Person Like A Person,NO:EL,spotify:track:5rJSYC9DnpEGjfIwWb0tDA,10,1,0.201,0.789,0.732,0.046,-5.03,148.029,0.931,20
Leave,Hoon TK,spotify:track:3c08W8KCwK48WaESOps0mL,5,0,0.352,0.593,0.589,0.116,-7.633,139.89,0.45,5
The open boat,Primary,spotify:track:5dzqwQujn1OTikVIoHtGVu,2,1,0.0308,0.464,0.768,0.113,-4.653,167.94,0.212,32
달리,Hyolyn,spotify:track:21jActlsyXzkKDkN3LK6G7,11,0,0.293,0.666,0.82,0.249,-2.886,143.741,0.883,27
You Back Then (feat. Jayeong Seo),Siyoon,spotify:track:7tvXqQPYwPxBnrjeQSjPe5,5,0,0.158,0.769,0.495,0.239,-4.422,121.15,0.789,22
Come Over,DEAN,spotify:track:1ieDhJfetL1wUFTC0YIriP,6,0,0.0893,0.499,0.633,0.64,-7.854,168.001,0.294,0
Stay Here,Gaho,spotify:track:20mZ4O5ztRZltdvLEJbi4z,1,1,0.639,0.411,0.338,0.207,-7.538,135.931,0.328,59
O.M.G.,HALO,spotify:track:0aG1btZgYZpi6WnhiK8O5V,6,0,0.0427,0.732,0.8,0.111,-3.209,118.054,0.901,34
Voice 묵소리,Taylor,spotify:track:3jTjVvoGqEC0NK5aN2nnra,11,1,0.961,0.653,0.231,0.102,-6.622,129.519,0.367,1
Intro: Singularity,BTS,spotify:track:6ePyl2ns4b7MVYhjsj32ZK,1,0,0.554,0.775,0.271,0.112,-9.131,104.001,0.204,67
Jasmine,DPR LIVE,spotify:track:2IgbYlOlFpiSFYnsqB39lM,8,1,0.331,0.597,0.486,0.14,-5.893,137.68,0.397,65
DDU-DU DDU-DU,BLACKPINK,spotify:track:7b8YOVV5quZcSKEijDgyWB,4,0,0.0313,0.671,0.859,0.267,-3.922,139.931,0.39,35
Boong-Boong,HAON,spotify:track:4dC5kCBQEMgRjEvlavlsZy,0,0,0.426,0.824,0.694,0.084,-4.527,136.027,0.927,44
ALARM,BOiTELLO,spotify:track:0UZzGR19n2pdlDHnD0LrVN,0,1,0.161,0.72,0.873,0.106,-4.169,123.066,0.419,19
POOL,WOODZ,spotify:track:3fCZKucLEtLkTLtRUZrfkG,5,1,0.449,0.724,0.453,0.0834,-8.588,119.937,0.637,57
SHE BAD,MYTEEN,spotify:track:7k1YG4KliiXCVawNyvwT7X,7,0,0.114,0.698,0.908,0.088,-4.298,108.019,0.564,9
Get It,PRISTIN V,spotify:track:6sOBI67H8F3S1cNS6CM5p7,7,1,0.212,0.463,0.883,0.213,-3.245,99.021,0.439,57
Remind you,dob,spotify:track:0doK7eEePPV5YktUesjhTB,3,1,0.635,0.672,0.676,0.131,-7.421,129.941,0.825,0
Penalty,Louie,spotify:track:7hiJSx8TcGYFZLtl4Ch7Yj,6,0,0.401,0.809,0.597,0.272,-6.377,115.965,0.453,24
Way Back Home,SHAUN,spotify:track:3NxuezMdSLgt4OwHzBoUhL,10,1,0.405,0.745,0.739,0.127,-4.591,99.913,0.556,73
